Date,Open,High,Low,Close,Adj Close,Volume
2021-09-03,15578.959961,15668.120117,15554.969727,15652.860352,15652.860352,3692170000
2021-09-07,15662.299805,15701.400391,15610.230469,15675.759766,15675.759766,3967040000
2021-09-08,15669.009766,15669.009766,15528.450195,15620.849609,15620.849609,4113530000
2021-09-09,15639.440430,15675.459961,15556.740234,15561.049805,15561.049805,3997250000
2021-09-10,15648.049805,15673.500000,15433.429688,15440.750000,15440.750000,4567980000
2021-09-13,15545.660156,15562.280273,15351.700195,15434.500000,15434.500000,4701190000
2021-09-14,15505.780273,15525.969727,15352.059570,15382.900391,15382.900391,4571950000
2021-09-15,15419.950195,15518.950195,15316.400391,15503.530273,15503.530273,4446270000
2021-09-16,15452.669922,15539.139648,15370.879883,15515.910156,15515.910156,3681700000
2021-09-17,15481.429688,15485.209961,15291.040039,15333.469727,15333.469727,6682650000
2021-09-20,15068.650391,15157.259766,14821.030273,15012.190430,15012.190430,4860630000
2021-09-21,15096.969727,15139.900391,14986.980469,15027.769531,15027.769531,4056340000
2021-09-22,15073.959961,15230.339844,15029.900391,15176.509766,15176.509766,4229870000
2021-09-23,15231.200195,15356.919922,15199.429688,15316.580078,15316.580078,4176520000
2021-09-24,15222.969727,15345.540039,15209.160156,15329.679688,15329.679688,3972140000
2021-09-27,15205.230469,15240.580078,15106.450195,15204.820313,15204.820313,4619450000
2021-09-28,15001.980469,15040.570313,14758.980469,14770.299805,14770.299805,4954270000
2021-09-29,14835.509766,14914.919922,14727.410156,14752.889648,14752.889648,5246170000
2021-09-30,14830.299805,14888.219727,14684.549805,14689.620117,14689.620117,5910550000
2021-10-01,14731.379883,14830.839844,14555.120117,14791.870117,14791.870117,4688550000
2021-10-04,14713.599609,14727.599609,14384.929688,14472.120117,14472.120117,4539650000
2021-10-05,14533.429688,14763.639648,14520.230469,14674.150391,14674.150391,4143190000
2021-10-06,14529.889648,14775.639648,14499.480469,14766.750000,14766.750000,4443760000
2021-10-07,14899.070313,15010.320313,14878.219727,14897.129883,14897.129883,3936210000
2021-10-08,14942.360352,14948.349609,14805.500000,14820.750000,14820.750000,3557630000
2021-10-11,14765.690430,14907.570313,14709.049805,14713.730469,14713.730469,3522230000
2021-10-12,14772.290039,14784.780273,14636.330078,14662.110352,14662.110352,4037030000
2021-10-13,14751.799805,14800.830078,14676.580078,14774.599609,14774.599609,4032440000
2021-10-14,14925.580078,15059.889648,14901.589844,15052.419922,15052.419922,4240520000
2021-10-15,15106.969727,15150.139648,15064.589844,15146.919922,15146.919922,4473930000
2021-10-18,15091.580078,15307.509766,15074.709961,15300.889648,15300.889648,4142540000
2021-10-19,15349.450195,15414.969727,15320.620117,15410.719727,15410.719727,4443000000
2021-10-20,15448.000000,15457.110352,15333.429688,15388.709961,15388.709961,4086590000
2021-10-21,15365.809570,15497.580078,15350.500000,15489.589844,15489.589844,4880390000
2021-10-22,15422.070313,15474.280273,15291.950195,15355.070313,15355.070313,5719760000
2021-10-25,15417.250000,15555.650391,15338.490234,15514.190430,15514.190430,5677320000
2021-10-26,15615.360352,15710.790039,15518.589844,15559.490234,15559.490234,7035470000
2021-10-27,15603.160156,15729.750000,15578.679688,15598.389648,15598.389648,6083210000
2021-10-28,15674.389648,15784.000000,15650.009766,15778.160156,15778.160156,5660240000
2021-10-29,15638.740234,15856.900391,15638.740234,15850.469727,15850.469727,5310370000
2021-11-01,15879.610352,15910.349609,15785.309570,15905.280273,15905.280273,5239250000
2021-11-02,15885.339844,15988.330078,15877.269531,15972.490234,15972.490234,5118540000
2021-11-03,16000.599609,16157.599609,15950.589844,16144.500000,16144.500000,5274520000
2021-11-04,16193.219727,16387.949219,16169.559570,16346.240234,16346.240234,5252570000
2021-11-05,16397.589844,16454.480469,16302.059570,16359.379883,16359.379883,5534130000
2021-11-08,16351.490234,16401.929688,16314.000000,16336.030273,16336.030273,5620280000
2021-11-09,16389.990234,16401.890625,16168.629883,16219.940430,16219.940430,5531330000
2021-11-10,16087.019531,16224.509766,15905.280273,15985.570313,15985.570313,5336480000
2021-11-11,16114.049805,16116.250000,16019.389648,16032.469727,16032.469727,4520600000
2021-11-12,16078.129883,16218.549805,16012.780273,16199.889648,16199.889648,5412870000
2021-11-15,16227.009766,16256.730469,16096.370117,16189.120117,16189.120117,4978040000
2021-11-16,16170.290039,16329.500000,16156.690430,16309.769531,16309.769531,5441150000
2021-11-17,16329.070313,16398.949219,16276.769531,16308.070313,16308.070313,5024540000
2021-11-18,16398.759766,16501.919922,16309.509766,16482.970703,16482.970703,5361690000
2021-11-19,16558.560547,16625.859375,16523.830078,16573.339844,16573.339844,4849160000
2021-11-22,16644.769531,16764.859375,16374.780273,16380.980469,16380.980469,5531070000
2021-11-23,16330.179688,16417.500000,16121.700195,16306.719727,16306.719727,5412610000
2021-11-24,16202.259766,16370.559570,16106.019531,16367.809570,16367.809570,4178630000
2021-11-26,16237.410156,16302.580078,15988.950195,16025.580078,16025.580078,3502030000
2021-11-29,16263.429688,16437.160156,16214.559570,16399.240234,16399.240234,4800570000
2021-11-30,16333.950195,16454.560547,16073.759766,16135.919922,16135.919922,6609380000
2021-12-01,16347.959961,16427.189453,15864.000000,15877.719727,15877.719727,6266020000
2021-12-02,15791.299805,16066.320313,15770.919922,15990.759766,15990.759766,5390100000
2021-12-03,16039.410156,16089.610352,15543.309570,15712.040039,15712.040039,5859520000
2021-12-06,15744.910156,15898.589844,15557.780273,15846.160156,15846.160156,5095960000
2021-12-07,16139.559570,16343.669922,16128.440430,16325.660156,16325.660156,5091220000
2021-12-08,16313.879883,16401.099609,16250.389648,16394.339844,16394.339844,4600800000
2021-12-09,16337.809570,16413.279297,16141.389648,16149.570313,16149.570313,4484230000
2021-12-10,16278.299805,16339.120117,16139.000000,16331.980469,16331.980469,4395460000
2021-12-13,16317.900391,16332.629883,16075.540039,16082.549805,16082.549805,4549170000
2021-12-14,15877.650391,15995.209961,15742.799805,15914.900391,15914.900391,4802460000
2021-12-15,15908.450195,16301.269531,15746.940430,16289.589844,16289.589844,5318850000
2021-12-16,16335.030273,16340.530273,15802.629883,15863.940430,15863.940430,4890470000
2021-12-17,15714.540039,15960.250000,15664.099609,15801.459961,15801.459961,7616320000
2021-12-20,15566.830078,15662.610352,15508.740234,15627.639648,15627.639648,4576750000
2021-12-21,15794.379883,15997.610352,15617.480469,15986.280273,15986.280273,4546230000
2021-12-22,15963.540039,16186.250000,15947.559570,16180.139648,16180.139648,4080900000
2021-12-23,16203.759766,16360.750000,16188.030273,16308.209961,16308.209961,3918200000
2021-12-27,16361.070313,16567.640625,16361.070313,16567.500000,16567.500000,3730120000
2021-12-28,16602.919922,16607.189453,16458.490234,16488.660156,16488.660156,3623600000
2021-12-29,16510.630859,16548.919922,16396.160156,16491.009766,16491.009766,3694500000
2021-12-30,16485.400391,16569.619141,16415.119141,16429.099609,16429.099609,3732730000
2021-12-31,16411.259766,16464.619141,16317.259766,16320.080078,16320.080078,3379850000
2022-01-03,16395.509766,16504.140625,16306.639648,16501.769531,16501.769531,4412130000
2022-01-04,16513.869141,16513.869141,16151.900391,16279.730469,16279.730469,5109270000
2022-01-05,16190.549805,16249.230469,15763.839844,15771.780273,15771.780273,5011990000
2022-01-06,15675.219727,15900.599609,15608.570313,15765.360352,15765.360352,4774740000
2022-01-07,15774.129883,15835.000000,15526.799805,15592.190430,15592.190430,4229270000
2022-01-10,15383.179688,15627.919922,15165.530273,15614.429688,15614.429688,5303230000
